n-seri,n-para,result,finished soc,pack weight kg,DOD,max cell voltage,min cell voltage,total loss wh
190,4,Passed,49.78574169658846,76.0,2.7479720851318845,3.6514782487019692,3.4699832679439897,29.162675267986554
188,4,Passed,49.78213603610847,75.2,2.7779095030428635,3.6521563045223955,3.468691122755914,29.483847853181974
186,4,Passed,49.77842318061912,74.4,2.8085069839370576,3.65284871075256,3.4673700260203235,29.812196509297888
184,4,Passed,49.774598626198,73.6,2.839786621244663,3.653555927956982,3.466018992858807,30.147965238276615
182,4,Passed,49.770657610100955,72.8,2.8717715064960245,3.654278436627224,3.4646369931683814,30.491418307034643
180,4,Passed,49.76659513551607,72.0,2.904485786386843,3.65501673827169,3.463222948993008,30.84281525202958
178,4,Passed,49.76240591653702,71.2,2.9379547238082537,3.6557713565777576,3.46177573170946,31.20243501426924
176,4,Passed,49.75808437025574,70.4,2.9722047631666726,3.6565428386518892,3.4602941590119958,31.57057070940808
174,4,Passed,49.75362459959876,69.6,3.0072636003505266,3.6573317563439436,3.4587769916789126,31.947529707634057
172,4,Passed,49.7490203567423,68.8,3.043160257734364,3.6581387076623755,3.4572229301022315,32.33363404808287
170,4,Passed,49.74426503583743,68.0,3.079925164649275,3.658964318287745,3.4556306105600796,32.729221897152094
168,4,Passed,49.739351641026246,67.2,3.1175902437897065,3.65980924319256,3.4539986012091632,33.134648364433566
166,4,Passed,49.73427275814922,66.4,3.156189004076623,3.660674168376284,3.4523253977724706,33.5502865812178
164,4,Passed,49.72902052401306,65.6,3.1957566405457456,3.6615598127251956,3.4506094188948007,33.97652886273686
162,4,Passed,49.72358659296911,64.8,3.2363301418905834,3.6624669300076866,3.4488490011358253,34.41378796185978
160,4,Passed,49.71796210053207,64.0,3.2779484063544118,3.663396311016663,3.447042393567203,34.862498422774664
158,4,Passed,49.71213762373257,63.2,3.320652366738514,3.6643487858718755,3.445187751936676,35.323118044122296
156,4,Passed,49.70610313786316,62.4,3.364485125374557,3.6653252264962557,3.4432831323580704,35.796129462082554
154,4,Passed,49.69984796923393,61.6,3.4094921000040372,3.6663265492818358,3.441326484481547,36.28204186509307
152,4,Passed,49.693360743511874,60.8,3.4557211816055187,3.6673537179623934,3.439315644093437,36.781392853194156
150,4,Passed,49.6866293291603,60.0,3.503222905332464,3.668407746711775,3.4372483250891417,37.29475045649491
148,4,Passed,49.679640775439495,59.2,3.5520506358491346,3.6694897034888654,3.435122110756214,37.82271532893835
146,4,Passed,49.67238124435686,58.4,3.6022607685037826,3.6706007136524375,3.4329344442972927,38.365923135464584
144,4,Passed,49.66483593588081,57.6,3.6539129479439296,3.67174196387162,3.4306826185142736,38.92504715284317
142,4,Passed,49.65698900563949,56.8,3.7070703059659067,3.6729147063606193,3.42836376456571,39.50080110692152
140,4,Passed,49.64882347597369,56.0,3.761799720607442,3.674120263469482,3.425974839698574,40.093942275755126
138,4,Passed,49.640321131947225,55.2,3.818172098733534,3.675360032666366,3.423512613843394,40.7052748708549
136,4,Passed,49.63146241427695,54.4,3.8762626846454324,3.6766354919508313,3.4209736549476726,41.33565375841947
134,4,Passed,49.622226294792604,53.6,3.9361513975569338,3.6779482057423065,3.4183543129065916,41.98598852790459
132,4,Passed,49.61259014101366,52.8,3.997923201146513,3.6792998312931644,3.415650701931584,42.6572479675818
130,4,Passed,49.602529566436246,52.0,4.061668508806079,3.680692125681745,3.412858681176295,43.35046499026713
128,4,Passed,49.5920182632204,51.2,4.127483628685482,3.682126953447514,3.4099738334151857,44.06674205987724
126,4,Passed,49.5810278129288,50.4,4.195471253179811,3.683606294938228,3.406991441541939,44.80725717571199
124,4,Passed,49.56952748043608,49.6,4.265740998136351,3.6851322554478445,3.4039064626224578,45.573270500418744
122,4,Passed,49.5574839806457,48.8,4.3384099977931925,3.6867070752340174,3.4007134991995382,46.366148556631515
120,4,Passed,49.544861217934155,48.0,4.413603562303479,3.688333140515613,3.3974067675026096,47.18735703958468
118,4,Passed,49.531619988180275,47.2,4.491455905688575,3.6900129955640333,3.393980062164835,48.03842016656365
116,4,Passed,49.51771765554469,46.4,4.572110953206149,3.691749356017473,3.390426716990237,48.921009299692734
114,4,Passed,49.50310777859567,45.6,4.655723238460219,3.6935451235649626,3.3867395612435476,49.836923910428986
112,4,Passed,49.487739690736035,44.8,4.742458902149785,3.695403402167618,3.382910870853163,50.78810418608089
110,4,Passed,49.47155802521592,44.0,4.832496806194065,3.6973275160082437,3.378932313820576,51.776645165481575
108,4,Passed,49.45450217614852,43.2,4.926029779146745,3.699321029388212,3.3747948890147006,52.80481262613566
106,4,Passed,49.43650568541676,42.4,5.023266011377515,3.7013877688227557,3.3704888573932332,53.8750609831106
104,4,Passed,49.41749554350975,41.6,5.124430621547049,3.7035318476235792,3.3660036645305,54.990053505396595
102,4,Passed,49.39739139010027,40.8,5.229767419524592,3.705757693301968,3.3613278531370714,56.152685210079284
100,4,Passed,49.37610459747266,40.0,5.3395408952275005,3.70807007817756,3.356448964023017,57.366108860600974
190,3,Passed,49.65897992349843,57.0,3.6936362651671715,3.672618497266045,3.4289499252500377,39.35526292342042
188,3,Passed,49.65294717385131,56.4,3.7342341724387182,3.6735132975676184,3.427178258320688,39.79514916796107
